Code Event
1 Astronomical_Low_Tide
2 Avalanche
3 Blizzard
4 Coastal_Flood
5 Cold/Wind_Chill
6 Debris_Flow
7 Dense_Fog
8 Dense_Smoke
9 Drought
10 Dust_Devil
11 Dust_Storm
12 Excessive_Heat
13 Extreme_Cold/Wind_Chill
14 Flash_Flood
15 Flood
16 Frost/Freeze
17 Funnel_Cloud
18 Freezing_Fog
19 Hail
20 Heat
21 Heavy_Rain
22 Heavy_Snow
23 High_Surf
24 High_Wind
25 Hurricane_(Typhoon)
26 Ice_Storm
27 Lake-Effect_Snow
28 Lakeshore_Flood
29 Lightning
30 Marine_Hail
31 Marine_High_Wind
32 Marine_Strong_Wind
33 Marine_Thunderstorm_Wind
34 Rip_Current
35 Seiche
36 Sleet
37 Storm_Surge/Tide
38 Strong_Wind
39 Thunderstorm_Wind
40 Tornado
41 Tropical_Depression
42 Tropical_Storm
43 Tsunami
44 Volcanic_Ash
45 Waterspout
46 Wildfire
47 Winter_Storm
48 Winter_Weather
